,amenity,name,point,Closest_Sectors
1032,parking,,POINT (77.10205218001799 28.479512579497825),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722))]"
1033,parking,,POINT (76.89708137866486 28.371985448145278),"[('Sector 15', (28.3843199, 76.9122326)), ('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152)), ('Sector 9', (28.3840986, 76.8861337))]"
1034,place_of_worship,Mankameshwar Mandir,POINT (77.14566495857592 28.4257733630521),[]
1035,parking,,POINT (77.0902635670428 28.49684271578292),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1036,parking,,POINT (77.08931651095165 28.4965479546258),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1037,parking,,POINT (77.0676747105695 28.48928932490946),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1038,parking,,POINT (77.08013466666962 28.49219389691755),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1039,parking,MSIL Material Gate,POINT (77.07813266492248 28.49260195929632),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1040,parking,,POINT (77.07795960368941 28.492804300026105),"[('Sector 21', (28.5143629, 77.0730087)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1041,fuel,HP COCO,POINT (77.05435279999999 28.5045813),"[('Sector 1', (28.5187813, 77.0418623)), ('Sector 2', (28.5090499, 77.0342831)), ('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1042,parking,,POINT (77.05991353382811 28.48782637484384),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 25', (28.4860888, 77.084224)), ('Sector 17A', (28.4782746802606, 77.05779005474827)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
1043,fuel,Bharat Petroleum,POINT (77.14714741987785 28.424524542346912),[]
1044,cafe,Dhaba,POINT (77.17396705 28.40447615),[]
1045,fuel,HP,POINT (77.1479164 28.42386745),[]
1046,fuel,K.G.U,POINT (77.14778455 28.4239171),[]
1047,restaurant,Canteen,POINT (76.8903250308884 28.367035963142634),"[('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152)), ('Sector 9', (28.3840986, 76.8861337))]"
